"Artikel-Nr.","Bezeichnung","EAN-Nr.","Lagerbestand","ME","MwSt.-satz"
537,"Boss Bottled Dusche 150ml","0737052053967",5.00,"Stck.",19.00
538,"Boss Bottled EDT Vapo 30ml","0737052351001",6.00,"Stck.",19.00
539,"Boss Bottled EDT Vapo 50ml","737052351018",6.00,"Stck.",19.00
540,"Davidoff Cool Water Men EDT Vapo 40ml","3414202000510",4.00,"Stck.",19.00
541,"Penaten Mama Massageöl 200ml","3574661183428",17.00,"Stck.",19.00
542,"Boss Bottled EDT Vapo 100ml","0737052351100",3.00,"Stck.",19.00
543,"Adidas Pure Game After 100ml","3607345216713",5.00,"Stck.",19.00
556,"Frachtkosten-Anteil Export","",0.00,"Stck.",19.00
558,"Penaten Bad+Shampoo 400ml","3574661474939",103.00,"Stck.",19.00
560,"Penaten Bad Kamille 750ml","3574661500515",23.00,"Stck.",19.00
562,"Penaten Intensiv Pflege Öl 200ml","3574661237848",42.00,"Stck.",19.00
563,"Penaten Creme 50ml","3574661491097",141.00,"Stck.",19.00
564,"Penaten Creme 150ml","3574661491080",29.00,"Stck.",19.00
565,"Penaten Gute Nacht Bad 400ml","3574661264431",23.00,"Stck.",19.00
570,"Penaten Pflegeöl 500ml","3574661500553",102.00,"Stck.",19.00
571,"Giorgio Armani Aqua Di Gio Dusche 200ml","3614270674167",3.00,"Stck.",19.00
573,"Penaten Shampoo 400ml","3574661474915",31.00,"Stck.",19.00
574,"Penaten Seife 100g","3574661482446",104.00,"Stck.",19.00
575,"Jean Paul G. LeMale EDT Vapo 75ml","8435415005029",3.00,"Stck.",19.00
576,"Penaten Pflegelotion 400ml","3574661474960",107.00,"Stck.",19.00
577,"Adidas Pure Game Deo Spray 150ml","3607345373515",26.00,"Stck.",19.00
579,"Adidas Pure Game Dusche 250ml","3607340725289",9.00,"Stck.",19.00
588,"Penaten Beruhigungsbalsam 75ml","3574661406886",1.00,"Stck.",19.00
590,"Joop Homme EDT Vapo 30ml","3414206010423",4.00,"Stck.",19.00
591,"Penaten Sensitiv Bad&Shampoo 400ml","3574661266787",24.00,"Stck.",19.00
592,"Penaten Sensitiv Wundschutzcreme o.P.75ml","3574661265308",3.00,"Stck.",19.00
593,"Penaten Erkältungsbad 125ml","3574660537390",27.00,"Stck.",19.00
